soggetto,ruolo,ente,categoria,partito,posizione,motivazione,periodo,eventi
Gianluca Di Cocco,Portavoce FdI Latina,Fratelli d'Italia,politico,Fratelli d'Italia,CONTRARIO,"Mar 2021: l'aeroporto servirebbe Roma, non Latina, portando inquinamento con scarso beneficio locale.",2021,EV-2021-001
Salvatore Antoci,Consigliere comunale di Latina,Comune di Latina (gruppo misto),politico,gruppo misto,CONTRARIO,Giu 2020: le low cost pretendono co-marketing pubblico ('aiuti di Stato mascherati'); aeroporto a <100 km da Fiumicino/Ciampino è 'una follia economica e ambientale'.,2020,EV-2020-002
Associazione 'Pro Aeroporto di Latina',Associazione promotrice (pres. Enzo De Amicis),Associazione civica,comitato/associazione,,FAVOREVOLE,Fondata dic. 2018 per il terzo aeroporto civile; dichiara (non verificato) studi di fattibilità e contatti con finanziatori internazionali senza aiuti di Stato.,2018-oggi,EV-2018-002 | EV-2021-002
Associazione 'Mettiamo le ali a Latina',Associazione promotrice,Associazione civica,comitato/associazione,,FAVOREVOLE,Dal dicembre 2006 per l'uso civile dell'aeroporto.,2006-,EV-2006-001
Associazione 'Aeroporto per Latina' (avv. Dino Lucchetti),Associazione promotrice,Associazione civica,comitato/associazione,,FAVOREVOLE,Promuove la conversione civile; organizzò un volo dimostrativo civile (non realizzato) ~2006-2007.,2006-2007,EV-2006-001
Camera di Commercio di Latina,Ente camerale,Camera di Commercio di Latina,ente pubblico,,FAVOREVOLE,Finanziò lo studio di fattibilità 2007 sullo scalo.,2007,EV-2007-001
Regione Lazio (Giunta/Direzione Mobilità),Ente regionale,Regione Lazio,ente pubblico,,AMBIVALENTE-MUTEVOLE,PRT 2006 includeva Latina; 2021 chiede tavolo tecnico al MIT; 2025 apertura di Rocca; 2026 orientamento verso Fiumicino.,2006-2026,EV-2006-002 | EV-2021-002 | EV-2025-001 | EV-2026-001
ENAC,Ente Nazionale Aviazione Civile,ENAC,ente pubblico,,CONTRARIO,Ha escluso Latina dal proprio dossier di pianificazione aeroportuale ('pietra tombale'). Da confermare con fonte primaria.,2025,EV-2025-003
Alfredo Pallone,Membro del Consiglio di Amministrazione ENAC,ENAC,ente pubblico / politico,,CONTRARIO,Parere contrario all'aeroporto civile a Latina (citato da econovie). Da verificare con dichiarazione/fonte diretta.,2025,EV-2025-003
Aeronautica Militare (70° Stormo),Gestore militare del sedime,Aeronautica Militare,ente pubblico,,AMBIVALENTE-MUTEVOLE,Attore chiave: usa il sedime (scuola volo). Nel 2019 il tema è il possibile trasferimento del 70° Stormo a Grazzanise. Nessuna presa di posizione esplicita pro/contro l'uso civile verificata.,2019-,EV-INFRA-001 | EV-2019-001
